rank,label_above,FALQON,TR-FALQON,SO-FALQON,mixer
1,0001111001,0.5240155945308688,0.5899999964575833,0.5808524598553183,Hx
2,0100111001,0.1342020924405191,0.20449137605879433,0.18366460064281537,Hx
3,0010111001,0.02679859033506722,0.053895791881525316,0.0450336080895298,Hx
4,0101101001,0.02595322407340738,0.03911774743070847,0.02006854704957685,Hx
5,0101111001,0.03686197732282538,0.0022088755887854704,0.005033269738539191,Hx
6,0101011001,0.027209189479437366,0.035932245231325856,0.015600898699947494,Hx
7,0101111000,0.018975650190625054,0.012449832794576433,0.03362565064957305,Hx
8,0000111001,0.025169282697366,0.0007416778928868266,0.00019232684434590492,Hx
9,0011111000,0.006347134685153884,0.006269596067937644,0.01636646119195035,Hx
10,1000111001,0.006495476410138345,0.0006269447399324398,0.015592281158097453,Hx
1,0001111001,0.6287562618599258,0.5927061040125061,0.49486107640524324,Hxy
2,0100111001,0.18099132245650063,0.19366636069270549,0.1870527946650492,Hxy
3,0010111001,0.0393850811241415,0.04939707557244841,0.0629408425155698,Hxy
4,0101111000,0.013811927522849638,0.015030062888227346,0.0377934484835015,Hxy
5,0101011001,0.012423413560381713,0.019837147957766973,0.03600572944766043,Hxy
6,0101101001,0.015693126641575267,0.024020683770055302,0.03577025049849732,Hxy
7,1000111001,0.025569322647583447,0.020306391376603342,0.00503512311939919,Hxy
8,0011111000,0.007200691839868083,0.007350600778266819,0.018116594334880533,Hxy
9,0011101001,0.007891804138189393,0.010515376841615147,0.01281093925035553,Hxy
10,0011011001,0.00592071113351746,0.007988599986050778,0.011948902685933386,Hxy
1,0001111001,0.606393634360372,0.5948560526593865,0.5998858128089335,Hws
2,0100111001,0.06598892489730604,0.05542294199916645,0.07234461326290229,Hws
3,1001001011,0.037835644767455316,0.024947669991792147,0.02907380637754358,Hws
4,0010111001,0.026403063882294107,0.02248367981260589,0.03045221000881212,Hws
5,1000111001,0.017463531548335437,0.02244759737521393,0.02229947215818715,Hws
6,0011011001,0.014191848264853544,0.020935187027884765,0.01798872097065098,Hws
7,0101011001,0.01521772363563622,0.01889036122222098,0.019853357121816757,Hws
8,1001011001,0.0143220247795098,0.012262634651721744,0.01806683200238536,Hws
9,0101101001,0.010813749230294949,0.010253129892396457,0.014746472807506933,Hws
10,1001011010,0.01398130827441027,0.011204903939773816,0.012233033419144182,Hws
